SampleID2	SampleID	Ward_Batch	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat	Set
JEP174	JEP174	B	5.5	6.3	0.33	NONE	2	4.3	0.2	0	21.5	187	23.9	2.46	167.8	31.1	2.25	337	509	301	15	49	3	11	28	9	Temporal
JEP175	JEP175	B	5	6.1	0.11	NONE	2	3.9	0.2	0	6.1	129	11.5	2.12	162.4	33.9	1.92	562	206	72	14.7	65	2	19	12	2	Temporal
JEP176	JEP176	B	5.2	5.8	0.17	NONE	2	4.2	0.1	0	13.5	119	16.3	2.1	191	30.5	2.28	342	314	160	17.4	69	2	10	15	4	Temporal
JEP177	JEP177	C	5.1	6.2	0.21	NONE	2	4.4	0.4	1	12.9	158	9.7	2.74	129.4	39.7	1.81	615	158	82	13.4	61	3	23	10	3	Temporal
JEP178	JEP178	C	5	6.1	0.26	NONE	2	4.2	0.1	0	20	162	15.4	2.28	213.2	31.5	1.95	325	181	142	13.4	69	3	12	11	5	Temporal
JEP179	JEP179	C	5	6.1	0.12	NONE	2	3.2	< 0.1	0	9.5	90	9.9	1.38	153.1	24.8	1.8	383	171	80	12.7	69	2	15	11	3	Temporal
JEP180	JEP180	C	5.4	6.3	0.36	NONE	2	3.1	0.2	0	9.4	175	15.5	1.24	126.2	25	1.79	315	312	282	13.1	56	3	12	20	9	Temporal
JEP181	JEP181	C	5.3	6.2	0.16	NONE	2	4.9	0.4	1	12	188	7	2.92	148.2	31.6	1.85	875	260	45	15.1	52	3	29	14	1	Temporal
JEP182	JEP182	C	5.7	6.4	0.72	NONE	2	4	0.1	0	20	345	34.3	1.88	143.7	38.4	2.58	410	601	405	15.4	37	6	13	33	11	Temporal
JEP183	JEP183	C	5	6.2	0.19	NONE	2	4	0.1	0	10.9	125	11.2	1.93	186.8	36.8	1.92	564	210	84	13.7	62	2	20	13	3	Temporal
JEP184	JEP184	C	5.3	6.1	0.32	NONE	2	3.8	< 0.1	0	15	139	15.9	1.7	171.8	36.3	2.18	389	377	196	15.8	60	2	12	20	5	Temporal
JEP185	JEP185	C	5.2	6.3	0.17	NONE	2	4.2	0.3	1	11.7	244	12.1	2.43	131.2	34.9	1.75	578	159	68	12.3	58	5	23	11	2	Temporal
JEP186	JEP186	C	5.1	6.2	0.26	NONE	2	3.4	0.4	1	16.5	170	13.9	1.63	161.7	26.8	1.91	334	211	140	13	66	3	12	14	5	Temporal
JEP187	JEP187	C	5.1	6.2	0.13	NONE	2	3.7	1.3	2	11.1	143	11.3	1.39	155.3	26.8	1.65	420	180	59	12.4	66	3	17	12	2	Temporal
JEP188	JEP188	C	5.2	6.4	0.59	NONE	2	3.3	0.3	1	8.6	264	33	1.26	119.9	28.4	1.75	316	248	273	11.6	53	6	13	18	10	Temporal
JEP189	JEP189	C	5.4	6.3	0.15	NONE	2	4.9	0.5	1	12.3	237	9.2	3.53	130.9	31.1	1.7	936	268	43	15.1	49	4	31	15	1	Temporal
JEP190	JEP190	C	5.5	6.3	0.41	NONE	2	4.1	0.2	0	23.5	193	32.5	1.84	206.4	28.3	2.4	353	466	303	14.4	48	3	12	27	9	Temporal
JEP191	JEP191	C	5.3	6.3	0.16	NONE	2	3.7	< 0.1	0	13.4	161	7.8	1.66	187.7	36.7	2.03	581	201	78	12.6	58	3	23	13	3	Temporal
JEP192	JEP192	C	5.1	6.1	0.48	NONE	2	4.5	0.1	0	11.8	137	11.8	1.72	174.3	35.3	1.85	340	292	182	13.9	62	3	11	18	6	Temporal
JEP193	JEP193	C	5.1	6.2	0.16	NONE	2	3.9	0.2	0	11.4	154	8.7	2.43	123.4	38.7	1.85	569	150	61	12.5	62	3	23	10	2	Temporal
JEP194	JEP194	C	5.3	6.2	0.1	NONE	2	3	0.2	0	14.5	187	11.4	1.48	123.8	30.7	2	357	198	109	12.3	64	4	15	13	4	Temporal
JEP195	JEP195	C	5	6.2	0.1	NONE	2	3.3	0.5	1	10.3	92	14.6	1.24	131.9	28.1	1.82	356	177	103	12.4	68	2	14	12	4	Temporal
JEP196	JEP196	C	5.2	6.3	0.4	NONE	2	3.5	0.2	0	10.7	179	30.8	1.6	117.4	30.4	1.8	327	271	310	12.3	54	4	13	18	11	Temporal
JEP197	JEP197	C	5.2	6.2	0.15	NONE	2	5.3	0.3	1	12.7	186	16	3.49	136.3	31.8	1.78	872	271	56	15	51	3	29	15	2	Temporal
